Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
HD,HD 0090,COMPUTER PURCHASES AND UPGRADE,2022,0,0,0,9685682,9685682
HD,HD 0107,ARTICLE 8A LOAN PROGRAM,2022,49550646,20588000,17838000,48088000,136064646
HD,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",2022,68581091,153985000,162236000,211172000,595974091
HD,HD 0157,ASSOCIATED COSTS - OTHER SITES,2022,0,0,0,509631,509631
HD,HD 0161,"SPRING CREEK, ASSOC. COSTS, BROOKLYN",2022,6666170,0,0,9527000,16193170
HD,HD 0200,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",2022,43391872,45571000,46482000,47412000,182856872
HD,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",2022,110136592,157000000,27360000,59461000,353957592
HD,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",2022,29080425,25000000,5000000,5000000,64080425
HD,HD 0206,"NYCHA PROGRAM, CITYWIDE",2022,150000000,0,0,0,150000000
HD,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",2022,0,0,0,13154427,13154427
HD,HD 0212,LOW INCOME RENTAL PROGRAM,2022,300017242,234390000,320886000,325000000,1180293242
HD,HD 0213,MIXED INCOME RENTAL - LOW,2022,35581610,157858000,184764000,96793000,474996610
HD,HD 0215,MULTIFAMILY HOMEOWNERSHIP PROGRAM,2022,42758755,1435000,1464000,1493000,47150755
HD,HD 0222,SUPPORTIVE HOUSING,2022,64627393,136958000,165046000,227149000,593780393
HD,HD 0222,SUPPORTIVE HOUSING,2022,0,0,0,12973634,12973634
HD,HD 0223,"SMALL HOMES DEVELOPMENT, LARGE SITES",2022,0,0,0,9707000,9707000
HD,HD K020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, BROOKLYN",2022,1000000,0,0,0,1000000
HD,HD K117,"CONS, RECON, IMPRV, SITE WK TO RESIDENTIAL & COMMERCIAL PROP, BROOKLYN",2022,600000,0,0,0,600000
HD,HD M020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, MANHATTAN",2022,100000,0,0,0,100000
HD,HD M169,"CONS,RECO,IMPRV,SITE WK TO RESIDENTIAL & COMMERCIAL PROP, MANHATTAN",2022,1290000,0,0,0,1290000
HD,HD Q020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, QUEENS",2022,1500000,0,0,0,1500000
HD,HD X020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, THE BRONX",2022,2150000,0,0,0,2150000
HH,HH 0105,PURCHASE OF EQUIPMENT FOR USE BY THE DEPARTMENT OF HOMELESS SERVICES,2022,599805,2725000,3397000,4632000,11353805
HH,HH 0112,CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS,2022,0,11804434,55875000,96480000,164159434
HH,HH 0115,CONGREGATE FACILITIES FOR HOMELESS FAMILIES,2022,0,12691283,13470000,23169000,49330283
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2022,176778948,182949000,171186000,162009000,692922948
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2022,0,0,0,0,0
HL,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",2022,0,3150585,3775000,13460000,20385585
HL,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",2022,387,0,0,0,387
HL,HL MN01V,CENTER FOR COMPREHENSIVE HEALTH PRACTICE,2022,100000,0,0,0,100000
HL,HL QN202,JAMAICA HOSPITAL MEDICAL CENTER,2022,197000,0,0,0,197000
HL,HL QN561,COMMUNITY HEALTHCARE NETWORK INC.,2022,200000,0,0,0,200000
HL,HL QN565,FLUSHING HOSPITAL,2022,272000,0,0,0,272000
HL,HL XN267,MONTEFIORE HOSPITAL,2022,1072000,0,0,0,1072000
HL,HL XN269,MORRIS HEIGHTS HEALTH CENTER,2022,103000,0,0,0,103000
HL,HL XN395,ST. BARNABAS HOSPITAL,2022,139000,0,0,0,139000
HL,HL XN735,"UNION COMMUNITY HEALTH CENTER, INC.",2022,55000,0,0,0,55000
HN,HN 0206,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",2022,0,25903655,25196000,39571000,90670655
HN,HN 0300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, CITYWIDE",2022,77250,0,0,74900000,74977250
HN,HN K250,"KINGSBOROUGH COMMUNITY COLLEGE, BROOKLYN",2022,450000,0,0,0,450000
HN,HN M001,"EQUIPMENT-COMMUNITY COLLEGES, MANHATTAN",2022,100000,0,0,0,100000
HN,HN M300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, MANHATTAN",2022,1891000,0,0,0,1891000
HN,HN Q001,QUEENSBOROUGH COMMUNITY COLLEGE,2022,750000,0,0,0,750000
HN,HN Q002,"EQUIPMENT-COMMUNITY COLLEGES, QUEENS",2022,1000000,0,0,0,1000000
HN,HN Q300,"CONSTRUCTION, IMPROVEMENTS TO CUNY SENIOR COLLEGES AND LAW SCHOOLS, QN",2022,1750000,0,0,0,1750000
HO,HO 0214,"HOSPITALS, IMPROVEMENTS",2022,126758893,204300000,210303000,267885000,809246893
HO,HO 0214,"HOSPITALS, IMPROVEMENTS",2022,0,134301717,224254000,33397000,391952717
HO,HO 0341,"CORRECTIONAL HEALTH SERVICES, IMPROVEMENTS",2022,0,223000000,41000000,0,264000000
HO,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",2022,61218873,38077000,27856000,34967000,162118873
HO,HO K001,"HOSPITALS, IMPROVEMENTS, BROOKLYN",2022,90000,0,0,0,90000
HO,HO K005,"PURCHASE OF EQUIPMENT HHC, BROOKLYN",2022,215000,0,0,0,215000
HO,HO M001,"HOSPITALS, IMPROVEMENTS, MANHATTAN",2022,163000,0,0,0,163000
HO,HO M002,"PURCHASE OF EQUIPMENT HHC, MANHATTAN",2022,443000,0,0,0,443000
HO,HO Q003,QUEENS HOSPITAL MEDICAL EQUIPMENT,2022,5000000,0,0,0,5000000
HO,HO Q378,ELMHURST HOSPITAL CENTER,2022,3000000,0,0,0,3000000
HO,HO X002,"PURCHASE OF EQUIPMENT FOR HHC, THE BRONX",2022,1050000,0,0,0,1050000
HR,HR 0025,IMPROVEMENTS OF STRUCTURES FOR USE BY DEPARTMENT OF SOCIAL SERVICES,2022,101007946,8941000,14619000,15996000,140563946
HR,HR 0025,IMPROVEMENTS OF STRUCTURES FOR USE BY DEPARTMENT OF SOCIAL SERVICES,2022,0,0,0,4553131,4553131
HR,HR 0025,IMPROVEMENTS OF STRUCTURES FOR USE BY DEPARTMENT OF SOCIAL SERVICES,2022,0,0,915223,2306000,3221223
HR,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,2022,0,4000,220000,192000,416000
HR,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,2022,0,0,62783,129000,191783
HR,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,2022,0,0,0,0,0
HR,HR 0110,COMMUNICATION SYSTEM DEVELOPMENT,2022,0,325437,1880000,2967000,5172437
HR,HR 0110,COMMUNICATION SYSTEM DEVELOPMENT,2022,0,215592,1196000,2119000,3530592
HR,HR 0110,COMMUNICATION SYSTEM DEVELOPMENT,2022,0,205087,655000,969000,1829087
HR,HR 0120,COMPUTER EQUIPMENT,2022,0,0,1558783,643000,2201783
HR,HR 0120,COMPUTER EQUIPMENT,2022,1337335,8679000,2828000,433000,13277335
HR,HR 0120,COMPUTER EQUIPMENT,2022,0,0,0,0,0
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2022,0,9355232,25460000,63232000,98047232
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2022,0,240000,0,0,240000
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2022,0,600000,0,0,600000
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2022,0,75561549,16014000,247227000,338802549
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2022,0,0,2835148,5599000,8434148
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2022,49187312,6066000,1000000,67914000,124167312
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2022,10662244,650000,0,24435000,35747244
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2022,0,0,0,0,0
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2022,0,55557269,12952000,191343000,259852269
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2022,0,0,0,0,0
HW,HW 0001R,"CONSTRUCTION AND RECONSTRUCTION OF HIGHWAYS, ETC., S.I.",2022,2062402,10423000,0,40116000,52601402
HW,HW 0001R,"CONSTRUCTION AND RECONSTRUCTION OF HIGHWAYS, ETC., S.I.",2022,2904404,4715000,0,0,7619404
HW,HW 0001R,"CONSTRUCTION AND RECONSTRUCTION OF HIGHWAYS, ETC., S.I.",2022,0,0,0,747098,747098
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2022,0,0,12559385,87725000,100284385
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2022,0,0,80999,0,80999
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2022,0,246999,0,100000,346999
HW,HW 0002M,"RESURFACING OF STREETS, MANHATTAN",2022,21768556,71294000,71728000,73777000,238567556
HW,HW 0003,IMPROVEMENTS TO HIGHWAY DEPARTMENT FACILITIES,2022,0,100127841,152730000,32697000,285554841
HW,HW 0061,LAND ACQUISITION FOR STREETS & SEWERS,2022,778433,10707000,6996000,7555000,26036433
HW,HW 0061,LAND ACQUISITION FOR STREETS & SEWERS,2022,0,0,0,0,0
HW,HW 0121,"GRADE AND PAVE SOUTH JAMAICA AREA, ETC.",2022,1880000,27767000,0,0,29647000
HW,HW 0200,SIDEWALK CONSTRUCTION,2022,0,228287866,240616000,337037000,805940866
HW,HW 0200,SIDEWALK CONSTRUCTION,2022,1032023,0,0,1380000,2412023
HW,HW 0200,SIDEWALK CONSTRUCTION,2022,0,0,0,1533960,1533960
HW,HW 0211,REHABILITATION OF STEP STREETS,2022,0,5555737,326000,513000,6394737
HW,HW 0274,"GRADE, PAVE, ETC. BROOKVILLE BOULEVARD, ETC.",2022,0,29776829,0,1500000,31276829
HW,HW 0348,"ENGR., ARCH., ADMIN. COSTS FOR HIGHWAY OPERATIONS CAPITAL PROJECTS",2022,0,0,0,5091990,5091990
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2022,337278212,193049000,200567000,206708000,937602212
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2022,199798000,0,0,0,199798000
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2022,4493839,0,0,0,4493839
HW,HW 0411,"GRADE, PAVE, ETC. 94TH STREET, ETC.",2022,1083830,0,0,0,1083830
HW,HW 0614,"RECONSTRUCTION OF BERGEN AVE & STS IN VIC OF AVE T & E71, BKLYN",2022,4069000,0,0,0,4069000
HW,HW 0631,"PAVE SOMERVILLE AREA, ROCKAWAY, QUEENS",2022,0,80979,0,0,80979
HW,HW 0700,RECONSTRUCTION COLUMBIA ST. FROM ATLANTIC AVE. TO HAMILTON AVE BKLYN.,2022,0,926485,0,0,926485
HW,HW 0710,RECONSTRUCTION OF PELHAM PARKWAY,2022,483568,2000000,0,0,2483568
HW,HW 0724,"RECONSTRUCTION OF BROOKVILLE BOULEVARD, QUEENS",2022,0,7507408,0,0,7507408
HW,HW 0796,"RECONSTRUCTION OF SCHENCK AVENUE, BROOKLYN",2022,4361000,0,0,0,4361000
HW,HW 0796,"RECONSTRUCTION OF SCHENCK AVENUE, BROOKLYN",2022,3600000,0,0,0,3600000
HW,HW 0876,"RECONSTRUCTION OF WYCKOFF AVENUE, BROOKLYN",2022,0,0,0,13020648,13020648
HW,HW 0876,"RECONSTRUCTION OF WYCKOFF AVENUE, BROOKLYN",2022,0,0,0,2127000,2127000
HW,HW 0890,"RECONSTRUCTION OF WOODROW ROAD, STATEN ISLAND",2022,0,0,2230999,0,2230999
HW,HW 0919,"RECONSTRUCTION OF BLOOMINGDALE ROAD, STATEN ISLAND",2022,0,0,1139632,0,1139632
HW,HW 0944,"PRIVATE PORTION FOR HIGHWAY PROJECTS, CITYWIDE",2022,0,6299752,0,236000,6535752
HW,HW 0988,"HAZARD ELIMINATION PROGRAM, CITY WIDE",2022,0,27252276,0,15965000,43217276
HW,HW 0988,"HAZARD ELIMINATION PROGRAM, CITY WIDE",2022,0,12725707,1250000,0,13975707
HW,HW 0988,"HAZARD ELIMINATION PROGRAM, CITY WIDE",2022,0,0,0,0,0
HW,HW 0C01Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2022,0,0,0,0,0
HW,HW 1140,"RECONST. ARTHUR KILL RD., W/O BLOOMNGDALE RD. TO BENTLEY ST., S.I.",2022,0,0,0,12821022,12821022
HW,HW 1666,"RECONSTRUCTION OF TIMES / DUFFY SQUARE AREA, MANHATTAN",2022,0,0,0,200000,200000
HW,HW 1678,"CONSTRUCTION, ACQUISITION, IMPROVEMENTS - CULTURALS",2022,0,3145000,0,0,3145000
HW,HW 1683,"HUDSON YARDS, MANHATTAN",2022,0,0,0,0,0
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2022,0,94440372,3745000,74558000,172743372
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2022,0,3382400,0,0,3382400
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2022,0,0,0,0,0
HW,HW K005,"REPAVING AND RESURFACING OF STREETS, BROOKLYN",2022,1000000,0,0,0,1000000
HW,HW Q001,"CON & RECON OF HWYS & STS, QUEENS",2022,1250000,0,0,0,1250000
L,L  0101,NYPL RESEARCH LIBRARIES - SYSTEM WIDE,2022,559599,0,299000,177000,1035599
LB,LB 0104,"CONSTRUCTION, SITE ACQUISITION AND F&E TO BRANCH LIBRARIES, BROOKLYN",2022,0,0,14715783,98394000,113109783
LB,LB 0107,"CONSTRUCTION, SITE ACQUISITION AND F&E FOR BCM / BROWER PARK LIBRARY",2022,2026000,0,0,0,2026000
LB,LB K001,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, BKLYN",2022,1500000,0,0,0,1500000
LN,LN 0008,"CONS, SITE AQUISITION AND F&E FOR NYPL FACILITIES CITYWIDE",2022,14370187,27092000,19796000,11303000,72561187
LN,LN 0101M,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, MAN. & SYSTEMWIDE",2022,0,0,0,71116,71116
LN,LN 0101X,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, BX. & SYSTEMWIDE",2022,0,2015153,0,9000,2024153
LN,LN M001,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, MANHATTAN",2022,180000,0,0,0,180000
LQ,LQ 0122,"IMPROVEMENT OF BRANCHES INCLUDING FURNITURE AND EQUIPMENT, QUEENS",2022,0,0,17961130,61690000,79651130
LQ,LQ Q122,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, QNS",2022,9364000,0,0,0,9364000
P,P  0007,CONEY ISLAND BOARDWALK IMPROVEMENTS,2022,0,0,0,7999998,7999998
P,P  0007,CONEY ISLAND BOARDWALK IMPROVEMENTS,2022,0,0,2560000,0,2560000
P,P  0013,FLUSHING MEADOW PARK DEVELOPMENT,2022,0,174503,0,34011000,34185503
P,P  0056,ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS,2022,0,0,0,622000,622000
P,P  0087,DEVELOPMENT OF KISSENA CORRIDOR PARK,2022,405315,0,0,0,405315
P,P  0088,"VAN CORTLANDT PARK, DEVELOPMENT",2022,0,0,543000,0,543000
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2022,0,0,37765807,73108000,110873807
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2022,0,43996,0,0,43996
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2022,466000,57000,0,0,523000
P,P  0245M,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2022,0,5770071,14480000,10989000,31239071
P,P  0245M,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2022,80738,1728000,0,0,1808738
P,P  0245M,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2022,510000,0,0,0,510000
P,P  0245Q,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2022,41636684,2072000,34657000,92844000,171209684
P,P  0245Q,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2022,0,89250,0,0,89250
P,P  0245R,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",2022,1538024,43000,0,0,1581024
P,P  0245R,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",2022,0,29000,0,0,29000
P,P  0245X,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRONX",2022,63899016,7000,2880000,17050000,83836016
P,P  0379,"ROCKAWAY BEACH, CONEY ISLAND, ETC. SHORE IMPROVEMENTS",2022,0,1999999,0,0,1999999
P,P  0380,"RIVERSIDE PARK, MANHATTAN, GENERAL REHABILITATION.",2022,955289,43000,0,0,998289
P,P  0380,"RIVERSIDE PARK, MANHATTAN, GENERAL REHABILITATION.",2022,0,2184000,0,0,2184000
P,P  0412,"PROSPECT PARK, IMPROVEMENTS",2022,0,0,2286000,0,2286000
P,P  0412,"PROSPECT PARK, IMPROVEMENTS",2022,0,999,0,0,999
P,P  0501,CITYWIDE WATERFRONT INFRASTRUCTURE PROGRAM,2022,0,0,5922406,32132000,38054406
P,P  0504,"OCEAN BREEZE, RECONSTRUCTION, STATEN ISLAND",2022,189997,0,0,0,189997
P,P  0505,COMFORT STATIONS AND BUILDINGS CITYWIDE,2022,29812795,1184000,524000,7493000,39013795
P,P  0506,RECREATION CENTER AND NATURE CENTERS CITYWIDE,2022,0,0,0,459178481,459178481
P,P  0507,DREIER OFFERMAN PARK DEVELOPMENT,2022,18739200,0,0,0,18739200
P,P  0508,DPR OWNED BRIDGES CITYWIDE,2022,166653316,133043000,236050000,287013000,822759316
P,P  0510,"SYNTHETIC TURF FIELDS, CITYWIDE",2022,10529090,668000,11273000,2872000,25342090
P,P  0568,"SAINT MARY'S PARK, REHABILITATION",2022,371729,0,0,0,371729
P,P  0581,"ROCKAWAY BEACH, BOARDWALK REDECKING",2022,1196477,0,0,0,1196477
P,P  0697,"CROTONA PARK, REHABILITATION",2022,0,79999,0,0,79999
P,P  0704,CONSTRUCTION AND RECONSTRUCTION OF DEPARTMENTAL FACILITIES,2022,28877076,0,0,39184000,68061076
P,P  0705,CONSTRUCTION AND RECONSTRUCTION RELATED TO PLANYC,2022,0,559040,0,0,559040
P,P  0715,"ORCHARD BEACH, EXPANSION",2022,6914935,0,0,40154000,47068935
P,P  0801,CLAREMONT PARK REHABILITATION,2022,0,0,0,1450000,1450000
P,P  0819,"MCCARREN PARK, RENOVATION AND IMPROVEMENTS",2022,19682,0,5590000,0,5609682
P,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",2022,8696123,25770000,0,26375000,60841123
P,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",2022,2780000,0,0,0,2780000
P,P  0828,RECONSTRUCTION OF BATTERY PARK SEA WALL,2022,165000,0,0,0,165000
P,P  0839,DEVELOPMENT OF WATERFRONT PARK IN WILLIAMSBURG AND GREENPOINT,2022,0,0,0,0,0
P,P  0848,ASTORIA PARK REHABILIATATION.,2022,0,0,0,3238611,3238611
P,P  0861,RENOVATION OF FORT WASHINGTON PARK,2022,1856999,0,0,0,1856999
P,P  0887,"CITY ZOOS, CITYWIDE",2022,0,4806600,383000,13409000,18598600
P,P  0896,"REHABILITATION OF UPPER HIGHLAND PARK, QUEENS",2022,4509969,16000,0,1219000,5744969
P,P  0926,"TOMPKINS SQUARE PARK, RENOVATION, MANHATTAN",2022,4940000,0,0,0,4940000
P,P  0931,"COMMUNICATION SYSTEM DEVELOPMENT, CITY-WIDE",2022,0,61000,856000,185000,1102000
P,P  0933,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF PARKS AND RECREATION,2022,0,0,0,29838386,29838386
P,P  0935,"SOUTH BEACH BOARDWALK, RECONSTRUCTION, S.I.",2022,0,0,180000,0,180000
P,P  0936,"CUNNINGHAM PARK, RECONSTRUCTION, QUEENS",2022,3290000,0,0,0,3290000
P,P  0938,"EVERGREEN PARK, RECONSTRUCTION, QUEENS",2022,0,0,0,499999,499999
P,P  0944,"DOWNING STADIUM AND OTHER, RECONSTRUCTION, RANDALL'S ISLAND, MANHATTAN",2022,0,0,0,0,0
P,P  0950,COMPUTER EQUIPMENT,2022,0,89564,1284000,17156000,18529564
P,P  0956,"DYKER BEACH PARK, RECONSTRUCTION, BROOKLYN",2022,17501501,0,0,0,17501501
P,P  0973,RECONSTRUCTION OF SHORE ROAD PARK,2022,209686,0,0,0,209686
P,P  0977,RECONSTRUCTION OF COMMODORE BARRY PARK,2022,0,0,0,6671000,6671000
P,P  0990,RECONSTRUCTION OF ASTORIA PARK POOL,2022,16982000,0,0,0,16982000
P,P  1008,"RECONST., INTERMEDIATE POOLS, EQUIPMENT, AND BATHHOUSES",2022,4601083,2203000,350000,12846000,20000083
P,P  1008,"RECONST., INTERMEDIATE POOLS, EQUIPMENT, AND BATHHOUSES",2022,0,71000,0,0,71000
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2022,165014841,50024000,195621000,654947000,1065606841
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2022,15467459,73793000,104195000,0,193455459
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2022,649000,130000,0,0,779000
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2022,33788823,0,0,0,33788823
P,P  1072,"KELLY PARK,RECONSTRUCTION,BROOKLYN",2022,924997,0,0,0,924997
P,P  1095,"BARRIER RECONSTRUCTION, CITYWIDE",2022,0,5295138,4000000,0,9295138
P,P  1130,"CONSTRUCT AND RECONSTRUCT SHORE PKWY BIKE PATHS, BROOKLYN",2022,0,0,34500,0,34500
P,P  1141,"GRAND ARMY PLAZA RECONSTRUCTION, BROOKLYN",2022,2331000,0,5295000,0,7626000
P,P  1200,BROOKLYN BRIDGE PARK DEVELOPMENT,2022,1000,0,0,0,1000
P,P  1245,"RECONSTRUCTION, WATERFRONT PARKS & PLAYGROUNDS, CITY WIDE",2022,0,1040149,1469000,26265000,28774149
P,P  1246,HUDSON RIVER TRUST,2022,0,4699854,0,23000000,27699854
P,P  1249,"CONSTRUCTION & RECONSTRUCTION OF ROOFING SYSTEMS, CITYWIDE",2022,151328,2526000,749000,3178000,6604328
P,P  1250,"RECONSTRUCTION/REPLACEMENT OF HVAC AND BOILERS, CITYWIDE",2022,4721900,3008000,18670000,33232000,59631900
P,P  1300,"IMPROVEMENTS TO CENTRAL PARK, MANHATTAN",2022,0,0,14086000,48175000,62261000
P,P  1321,"FRESH KILLS PARK, STATEN ISLAND",2022,22748031,8000,5200000,16913000,44869031
P,P  1325,WASHINGTON SQUARE PARK,2022,0,251,0,0,251
P,P  1326,HIGH LINE PARK,2022,0,0,0,0,0
P,P  1329,RETAINING WALLS AND SEAWALLS,2022,0,4031911,0,11780000,15811911
P,P  1331,SIDEWALKS AND TREES,2022,8770184,0,0,0,8770184
P,P  K011,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2022,1000000,0,0,0,1000000
P,P  M056,"ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS, MANHATTAN",2022,5000,0,0,0,5000
P,P  M245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2022,4986000,0,0,0,4986000
P,P  Q245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2022,2700000,3150000,0,0,5850000
P,P  Q847,"RECONSTRUCTION OF ROY WILKINS PARK, QUEENS",2022,250000,415000,0,0,665000
P,P  X245,"MISC PKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, THE BRONX",2022,10000000,0,0,0,10000000
PO,PO 0002,"CONSTRUCTION OF A NEW 116th PRECINCT STATION HOUSE, QUEENS",2022,24695000,0,0,0,24695000
PO,PO 0046,ULTRA HIGH FREQUENCY RADIO TELEPHONE EQUIPMENT,2022,0,6677013,0,29697000,36374013
PO,PO 0079,"IMPROVEMENTS TO POLICE DEPARTMENT PROPERTY, CITYWIDE",2022,27066674,156104000,30146000,210133000,423449674
PO,PO 0111,MARINE LAUNCHES FOR HARBOR UNIT,2022,0,0,337200,3279000,3616200
PO,PO 0127,HELICOPTERS,2022,12094000,0,0,0,12094000
PO,PO 0141,NEW 40TH PRECINCT STATION HOUSE,2022,3016427,0,0,0,3016427
PO,PO 0163,ACQUISITION AND INSTALLATION OF COMPUTER EQUIPMENT,2022,25384137,5700000,1000000,53118000,85202137
PO,PO 0185,"VEHICLES OF AT LEAST $35,000 AFTER NOVEMBER 1, 1999",2022,4748789,9922000,4751000,37480000,56901789
PO,PO 0187,PURCHASE OF NEW EQUIPMENT FOR POLICE DPT. USE,2022,0,424365,993000,5910000,7327365
PO,PO M185,"PURCHASE AND INSTALLATION OF EQUIPMENT, MANHATTAN",2022,250000,0,0,0,250000
PU,PU 0016,"PURCHASE OF ELECTRONIC DATA PROCESSING SOFTWARE, HARDWARE AND INFRA.",2022,283915175,170291000,132134000,163969000,750309175
PU,PU 0016A,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR FISA,2022,3303102,12000000,11865000,12863000,40031102
PU,PU 0022,JUDGEMENTS AND SETTLEMENTS IN CONNECTION WITH CAPITAL PROJECTS,2022,40000000,0,0,0,40000000
PU,PU 0025,ENERGY EFFICIENCY AND SUSTAINABILITY,2022,0,172529173,268453000,460423000,901405173
PU,PU 0100,CITYWIDE RESILIENCY MEASURES,2022,171669174,554128000,174937000,179444000,1080178174
PU,PU 0100,CITYWIDE RESILIENCY MEASURES,2022,4072831,0,0,0,4072831
